tconst,primaryTitle,startYear,genres
tt0062614,Zeg 'ns Aaa,1981,Comedy
tt0063881,Catweazle,1970,"Adventure,Comedy,Family"
tt0063962,UFO,1970,"Action,Sci-Fi"
tt0065269,Ace of Wands,1970,"Family,Fantasy"
tt0065270,The Adventures of Don Quick,1970,"Comedy,Sci-Fi"
tt0065271,Albert and Victoria,1970,Comedy
tt0065272,All My Children,1970,"Drama,Mystery,Romance"
tt0065273,Archie's Funhouse,1970,"Animation,Comedy,Family"
tt0065274,Arnie,1970,Comedy
tt0065276,Barefoot in the Park,1970,Comedy
tt0065277,The Best of Everything,1970,Drama
tt0065278,The Bold Ones: The Senator,1970,Drama
tt0065279,Budgie,1971,Drama
tt0065280,The Bugaloos,1970,"Family,Fantasy"
tt0065281,Can You Top This,1970,"Family,Game-Show"
tt0065283,Comedy Tonight,1970,Comedy
tt0065284,La constitución,1970,"Drama,History,War"
tt0065285,The Culture Vultures,1970,Comedy
tt0065286,Dan August,1970,"Crime,Drama"
tt0065287,Make Room for Granddaddy,1970,Comedy
tt0065288,Dinah's Place,1970,Talk-Show
tt0065289,The Don Knotts Show,1970,Comedy
tt0065290,Doomwatch,1970,"Drama,Sci-Fi"
tt0065293,Fiskal,1970,
tt0065294,Flip,1970,"Comedy,Music"
tt0065295,For the Love of Ada,1970,Comedy
tt0065296,The Goodies,1970,Comedy
tt0065297,Happy Days,1970,"Comedy,History,Music"
tt0065298,Harlem Globe Trotters,1970,"Animation,Family,Sport"
tt0065299,Headmaster,1970,"Comedy,Drama"
tt0065300,His and Hers,1970,Comedy
tt0065301,Hot Dog,1970,Family
tt0065302,Regnbågslandet,1970,Family
tt0065305,The Interns,1970,Drama
tt0065307,Josie and the Pussycats,1970,"Animation,Comedy,Family"
tt0065309,Lancelot Link: Secret Chimp,1970,"Adventure,Comedy,Family"
tt0065310,The Lovers,1970,Comedy
tt0065311,Magyarország Á... szemével,1970,
tt0065313,Nase malo misto,1970,"Comedy,Drama"
tt0065314,The Mary Tyler Moore Show,1970,Comedy
tt0065315,The Mating Machine,1970,Comedy
tt0065316,Matt Lincoln,1970,Drama
tt0065317,McCloud,1970,"Action,Crime,Drama"
tt0065318,Mike and Bernie,1971,Comedy
tt0065320,The Misfit,1970,Comedy
tt0065321,The Most Deadly Game,1970,Drama
tt0065323,NFL Monday Night Football,1970,Sport
tt0065324,Name That Tune,1970,"Game-Show,Music"
tt0065325,Nancy,1970,Comedy
tt0065326,Nanny and the Professor,1970,"Comedy,Fantasy"
tt0065328,Norman,1970,Comedy
tt0065329,The Odd Couple,1970,Comedy
tt0065330,On the House,1970,Comedy
tt0065332,Paris 7000,1970,"Adventure,Drama"
tt0065333,The Partridge Family,1970,"Comedy,Family,Music"
tt0065334,Pat Paulsen's Half a Comedy Hour,1970,Comedy
tt0065336,Queenie's Castle,1970,Comedy
tt0065337,The Ray Stevens Show,1970,Comedy
tt0065342,Groovie Goolies,1970,"Animation,Comedy,Family"
tt0065343,San Francisco International Airport,1970,Drama
tt0065344,San Francisco Mix,1970,
tt0065345,Die Sendung mit der Maus,1971,"Animation,Comedy,Family"
tt0065346,Somerset,1970,Drama
tt0065347,Men at Law,1970,Drama
tt0065350,That's Your Funeral,1970,Comedy
tt0065351,The Tim Conway Comedy Hour,1970,"Comedy,Music"
tt0065352,The Tim Conway Show,1970,Comedy
tt0065353,Where's Huddles?,1970,"Animation,Comedy,Family"
tt0065355,Will the Real Jerry Lewis Please Sit Down,1970,"Animation,Comedy,Family"
tt0065356,A World Apart,1970,Drama
tt0065358,The Young Rebels,1970,Adventure
tt0066624,Alexander the Greatest,1971,Comedy
tt0066625,Alias Smith and Jones,1971,Western
tt0066626,All in the Family,1971,"Comedy,Drama"
tt0066627,The Amazing World of Kreskin,1972,
tt0066628,And Mother Makes Three,1971,Comedy
tt0066629,Archie's TV Funnies,1971,"Animation,Comedy,Family"
tt0066630,The Beachcombers,1972,"Adventure,Comedy"
tt0066631,Bearcats!,1971,"Action,Adventure,War"
tt0066632,Birds on the Wing,1971,Comedy
tt0066633,Bless This House,1971,Comedy
tt0066634,Broster Broster,1971,Family
tt0066635,Cade's County,1971,"Action,Crime,Drama"
tt0066636,Cannon,1971,"Action,Crime,Drama"
tt0066640,The Chicago Teddy Bears,1971,Comedy
tt0066641,Circus,1971,
tt0066643,Coppers End,1971,Comedy
tt0066644,Curiosity Shop,1971,Family
tt0066645,The D.A.,1971,"Crime,Drama"
tt0066646,The David Frost Revue,1971,Comedy
tt0066647,Kraft Music Hall Presents: The Des O'Connor Show,1970,"Comedy,Music"
tt0066648,Doctor at Large,1971,Comedy
tt0066649,Police Surgeon,1971,Drama
tt0066650,Duell zu dritt,1971,"Comedy,Crime"
tt0066651,The Electric Company,1971,"Comedy,Family"
tt0066654,From a Bird's Eye View,1970,Comedy
tt0066655,Frost Over America,1970,Talk-Show
tt0066656,The Funky Phantom,1971,"Animation,Comedy,Family"
tt0066657,Funny Face,1971,Comedy
tt0066658,The Funny Side,1971,
tt0066661,Getting Together,1971,Comedy
tt0066662,The Golddiggers,1971,"Comedy,Music"
tt0066663,The Good Life,1971,Comedy
tt0066664,Gospel Road,1971,
tt0066665,The Great American Dream Machine,1971,"Comedy,Music"
tt0066666,The Guardians,1971,"Drama,Sci-Fi,Thriller"
tt0066667,Help!... It's the Hair Bear Bunch!,1971,"Animation,Comedy,Family"
tt0066668,Hem till byn,1971,Drama
tt0066669,Here Come the Double Deckers!,1970,"Comedy,Family"
tt0066670,The Hilarious House of Frightenstein,1971,"Adventure,Comedy,Family"
tt0066671,Jackson 5ive,1971,"Animation,Comedy,Family"
tt0066672,Jason King,1971,"Action,Adventure"
tt0066673,The Jimmy Stewart Show,1971,Comedy
tt0066675,Keep It in the Family,1971,Comedy
tt0066676,Kindly Leave the Kerb,1971,Comedy
tt0066677,The Last of the Baskets,1971,Comedy
tt0066679,Lidsville,1971,"Adventure,Comedy,Family"
tt0066680,Lollipop Loves Mr Mole,1971,Comedy
tt0066681,Longstreet,1971,"Action,Crime,Drama"
tt0066682,The Lotus Eaters,1972,Drama
tt0066683,The Man and the City,1971,Drama
tt0066684,Masterpiece Classic,1971,"Drama,Romance"
tt0066685,McMillan & Wife,1971,"Crime,Drama,Mystery"
tt0066687,Monty Nash,1971,"Crime,Mystery"
tt0066688,The New Andy Griffith Show,1971,Comedy
tt0066689,The New Dick Van Dyke Show,1971,Comedy
tt0066690,Nichols,1971,Western
tt0066691,Norman Corwin Presents,1971,
tt0066692,Now Look Here,1971,Comedy
tt0066693,"O'Hara, U.S. Treasury",1971,Drama
tt0066695,The Organization,1971,Drama
tt0066696,"Owen Marshall, Counselor at Law",1971,Drama
tt0066697,The Partners,1971,Comedy
tt0066698,The Pearl Bailey Show,1971,Music
tt0066699,The Pebbles and Bamm-Bamm Show,1971,"Animation,Comedy,Family"
tt0066701,The Persuaders!,1971,"Action,Adventure,Comedy"
tt0066704,Prosjaci i sinovi,1971,"Comedy,Drama"
tt0066705,The Psychiatrist,1970,Drama
tt0066706,The Rough with the Smooth,1975,Comedy
tt0066707,"Sabrina, the Teenage Witch",1971,"Animation,Comedy,Family"
tt0066708,Sarge,1971,Drama
tt0066710,The Sheila MacRae Show,1971,"Comedy,Music,Talk-Show"
tt0066711,The Sheriff of Hollywood Hills,1974,"Comedy,Family"
tt0066712,Shirley's World,1971,Comedy
tt0066713,The Silent Years,1971,Documentary
tt0066715,Slapstick and Old Lace,1971,Comedy
tt0066716,The Smith Family,1971,"Drama,Family"
tt0066717,The Sonny and Cher Comedy Hour,1971,"Comedy,Music"
tt0066720,Tom Smothers' Organic Prime Time Space Ride,1971,Comedy
tt0066721,The Two Ronnies,1971,Comedy
tt0066722,"Upstairs, Downstairs",1971,Drama
tt0066723,The Val Doonican Show,1970,"Comedy,Music"
tt0066725,Wenn der Vater mit dem Sohne,1971,
tt0066726,The World of Survival,1971,"Documentary,Family"
tt0066727,You're Only Young Twice,1971,Comedy
tt0067408,Matlock Police,1971,"Crime,Drama"
tt0067775,Der Sonne Glut,1971,
tt0068027,The ABC Comedy Hour,1972,Comedy
tt0068029,The Adventurer,1972,Adventure
tt0068030,The Adventures of Black Beauty,1972,"Adventure,Family"
tt0068031,The Adventures of Scooterman,1972,"Comedy,Family"
tt0068033,Alcock and Gander,1972,Comedy
